Municipality,Year,YieldPortfolio,Tmin_mean,Tmin_min,Tmax_mean,Tmax_max,Tmean_mean,Ptot_sum,Ptot_max,GDD_sum,HotDays_sum,FrostDays_sum,WetDays_sum
ARGYLE,2011,3.415880751702209,0.411265483169863,-28.61072837,8.707549813830136,35.73491696,4.559407648978082,0.42,0.03,1997.021162127,11,177,36
ARMSTRONG,1996,0.22982216811344264,-2.3593100169398906,-38.87112526,5.2606437306284155,33.3743075,1.4506668569617487,0.46,0.04,1775.548895858,6,188,36
ARMSTRONG,1997,0.1451734020016111,-0.6503322902547946,-32.73009294,7.150965763887672,31.95224538,3.250316737252055,0.54,0.04,1793.075197159,6,187,38
ARMSTRONG,1999,0.24043854255834402,1.092024131690411,-30.310422,8.637132826512328,32.73960662,4.864578479717808,0.44,0.04,1809.405589675,6,164,35
ARMSTRONG,2000,0.6312383909681134,-0.38172138571311476,-30.28299274,7.205141351508196,31.22238611,3.4117099832431697,0.6,0.03,1780.829393259,3,164,46
ARMSTRONG,2001,0.7498606689946756,0.9811371647917807,-30.19465963,8.674649756342466,34.55903469,4.827893460983562,0.47000000000000003,0.03,1919.734487739,6,171,37
ARMSTRONG,2002,0.5717099425588014,-0.5671563949205479,-31.48261125,6.9261605901643835,35.80027966,3.1795020980383564,0.44,0.05,1750.270202126,10,209,35
ARMSTRONG,2003,0.2644511407833686,-0.10839950960821917,-32.78875847,7.746117217860275,33.70007331,3.8188588544410957,0.34,0.04,2008.32640073,6,171,27
ARMSTRONG,2004,0.880901276043808,-0.6585278336338798,-33.39940635,6.623509247562842,29.96699242,2.9824907071830604,0.61,0.05,1515.50207885,0,175,47
ARMSTRONG,2005,0.9257742377052381,1.080290131120548,-30.97312754,8.434355689873971,33.08322659,4.757322910969863,0.41000000000000003,0.05,1944.483816145,11,165,33
ARMSTRONG,2006,0.9848696401898124,1.9198311708821916,-29.63829756,9.756412916665754,33.12497052,5.8381220446794515,0.28,0.03,2099.396188149,5,175,23
ARMSTRONG,2007,0.9075715743708882,0.46522934168493146,-32.62004599,7.983686081761644,35.69423187,4.224457712117808,0.35,0.03,1956.2429209910001,9,157,29
ARMSTRONG,2008,0.7429887609924838,-1.2904922225874316,-30.96791204,6.70476561352459,32.11874915,2.707136695647541,0.52,0.05,1713.658049275,2,184,37
ARMSTRONG,2009,0.3622890245894903,-0.3926011378684931,-28.64256965,6.9485579504739725,30.81454248,3.277978406556165,0.5,0.08,1635.195303002,1,174,34
ARMSTRONG,2010,0.4796880141600574,1.278952135391781,-26.22735203,8.807382754106849,31.90145889,5.043167445169863,0.66,0.05,1963.179904229,6,150,45
ARMSTRONG,2011,0.36714161944890855,0.5097320081808219,-29.12119411,8.632426321575343,37.0141814,4.571079165284932,0.33,0.04,2064.99460445,13,173,27
BIFROST-RIVERTON,1996,1.9874881469728054,-2.3593100169398906,-38.87112526,5.2606437306284155,33.3743075,1.4506668569617487,0.609558488395,0.036399508,1775.548895858,6,188,114
BIFROST-RIVERTON,1997,3.276003126365697,-0.6503322902547946,-32.73009294,7.150965763887672,31.95224538,3.250316737252055,0.69214982456,0.043268102,1793.075197159,6,187,106
BIFROST-RIVERTON,1998,3.474062723220233,1.4024560005123288,-28.17255243,8.826519318761644,30.9718623,5.114487660052054,0.699055018014,0.042102291,1950.2174948,3,158,116
BIFROST-RIVERTON,1999,3.7542899020783005,1.092024131690411,-30.310422,8.637132826512328,32.73960662,4.864578479717808,0.61341016496,0.039569408,1809.405589675,6,164,111
BIFROST-RIVERTON,2000,2.954532423492648,-0.38172138571311476,-30.28299274,7.205141351508196,31.22238611,3.4117099832431697,0.732385757265,0.032637744,1780.829393259,3,164,115
BIFROST-RIVERTON,2001,2.0098624698186383,0.9811371647917807,-30.19465963,8.674649756342466,34.55903469,4.827893460983562,0.619665496489,0.026742762,1919.734487739,6,171,108
BIFROST-RIVERTON,2002,3.586002001398782,-0.5671563949205479,-31.48261125,6.9261605901643835,35.80027966,3.1795020980383564,0.594784237534,0.047120245,1750.270202126,10,209,108
